,,,,,,,,,,,,,,,,,,,,,,,
,Name,Pricing,Average Drink Price,Description,Where you go if,Bar Type,Hours,Known for,Ambiance,Music Genre,Cuisine,Drinks,Recs,As seen on,Neighborhood,Accolades,Wait Time,Tags,Social media,Extra Info,Outdoor/Indoor?,Reservationh Difficulty,
,Bar Part Time,$$,$14-16 per wine glass,A glittering disco ball hangs above a tight dance floor packed with natural-wine lovers swaying to DJs spinning vinyl.,you want to dance,Wine Bar,,"Dance floor, international DJs","Darklit, Red Lights, Incense","House, Disco",None,"Natural Wine, Beer",,Soundcloud,Mission,-,-,"listening bar, dance floor, happy hour, vinyl",https://www.instagram.com/barparttime?igsh=NTc4MTIwNjQ2YQ==,$10 cover charge on weekends,,,"Dancefloor, Vinyl"
,Key Klub,$$,"$16-18 per wine glass, $8 per beer pint",Glowing lights set the mood as guests enjoy New American bites and sip on natural wine pours.,you want good pictures,Wine Bar,,"Big plates, wide range of wine and beer","Darklit, Red Lights, Exposed brick, Brooklyn vibe",,Western,"Natural Wine, Beer","French toast, Burger",9,Nob Hill,-,-,"wine bar, new american",https://www.instagram.com/key.klubsf/?hl=en,,,,
,Verjus,$$$,$16–18 per glass,A Parisian-style cave à manger with an open kitchen and a vintage Hi-Fi vinyl setup makes it feel more like a dinner party than a restaurant.,you miss euro summer,Wine Bar,,"Weekly changing menu, unique wines, delicious food","Dimly lit, Rustic, Conserva, Red ceiling",,French,"Wine, Cocktails","Pain perdu (french toast), pâté en croûte, charred sausage with manchego",,Financial District,"Michelin Guide, James Beard Award Nominee",,"wine bar, vinyl, small plates, date spot",https://www.instagram.com/verjus_sf,"Same group as Quince and Cotogna, vinyl à verjus every weekend",,,
,Harlan Records,$$,$12–18 per drink,"Tucked in an alley, this Japanese listening bar spins eclectic music in a cozy and low-key setting.",you love vinyl,Speakeasy,,"music inspired cocktails, live vinyl DJ sets, ","Darklit, Retro, Dive",House,None,Cocktails,Espresso martini,,Union Square,,,"listening bar, vinyl, retro",,,,,
,Bodega North Beach,$$,$12–18 per glass,"A small corner shop glowing with neon pink lights serves up New American bites in a playful, laid-back vibe.",you want a burrito with your mimosa,Wine Bar,,"Small plates, natural wine focus","Lively, Cozy, Dimly lit",,Western,"Natural Wine, Beer",Mushroom toast,,North Beach,,,"Natural wine, small plates, date night, casual dining",,"Burritos served saturday and sunday morning, sister bar to key klub and celeste",,,
,Anchovy Bar,$$$,,"oyster bar inspired, ",you want fresh seafood,Wine Bar,,Anchovy emphasis,"Cozy, ",Classical,"Seafood, Western",Beer,,,,,,,,,,,
,Millay,,,,,"Sake Bar, Wine Bar",,,"Minimalist, Modern, Cozy","Low-fi, ambient, eclectic vinyl sets",Japanese,"Sake, Cocktails",Highballs,,,,,"Natural wine, sake bar, date spot, intimate",,,,,
,Celeste,,,,,Wine Bar,,,"Mediterranean coastal, candlelit, intimate","Jazz, soulful electronic",Mediterranean,"Wine, Cocktails","Vermouth, Herbal cocktails",,,,,"Date night, Mediterranean, cozy",,,,,
,Mothership,,,,,Cocktail Bar,,,"Futuristic, colorful lighting, space-themed","Synthwave, retro-funk, electronic",None,Cocktails,,,,,,"Space bar, immersive, cocktails, funky",,,,,
,Bar Gemini,,,,,Wine Bar,,,"Warm wood, vinyl bar, cozy","Soul, funk, jazz vinyl sets",Western,Natural Wine,sherry,,,,,"Natural wine, vinyl, cozy, date spot",,,,,
,Gigi's,,,,,,,,"Retro-chic, warm lighting",,Vietnamese,Beer,"Vietnamese beer, Chambong",,,,,,,,,,
,Charmaine's,$$$,,,,,,,"Rooftop lounge, panoramic views","Chill electronic, lounge",Western,,,,,,,"Scenic views, elegant, trendy",,,,,
,El Chato,$$$,,,,,,,"Intimate and playful, Mural-lit pink walls","Live bands, indie sleaze, Spanish pop",Spanish,Wine,"Tinto, vermouth, porrón of vino blanco",,,,,"Porróns, live music, communal tables, intimate, late-night vibe",,,,,
,Buddy,,,,,,,,,,,"Wine, Cocktails, Beer",,,,,,,,,,,
,Peacekeeper,,,,,,,,,,,"Cocktails, Beer, Wine",,,,,,,,,,,
,PCH,,,,,,,,,,,,,,,World’s Best 50 Bars,,,,,,,
,Shuggie's Trash Pizza,,,,,,,,,,,,,,,,,,,,,,
,Bar Sprezzatura,,,,,,,,,,,,,,,,,,,,,,
,Trick Dog,,,,,,,,,,,,,,,"World’s Best 50 Bars, World's Best Cocktail Menu, Tales of the Cocktail, James Beard Award Nominee",,,,,,,
,Shoji,,,,,,,,,,,,,,,,,,,,,,
,Chambers,,,,,,,,,,,,,,,"Michelin Guide, James Beard Award Nominee",,,,,,,
,Left Door,,,,,,,,,,,,,,,,,,,,,,
,Starlite,,,,,,,,,,,,,,,,,,,,,,
,20 Spot,,,,,,,,,,,,,,,,,,,,,,
,Waystone,,,,,,,,,,,,,,,,,,,,,,
,Kis cafe,,,,,,,,,,,,,,,,,,,,,,
,ABV,,,,,,,,,,,,,,,World’s Best 50 Bars,,,,,,,
,Phonobar,,,,,,,,,,,,,,,,,,,,,,
,Chotto Matte,,,,,,,,,,,,,,,,,,,,,,
,Madrone Art Bar,,,,,,,,,,,,,,,,,,,,,,
,Cavana,,,,,,,,,,,,,,,,,,,,,,
,White Rabbit,,,,,,,,,,,,,,,,,,,,,,
,Bar Crenn,,,,,,,,,,,,,,,,,,,,,,
,Bar April Jean,,,,,,,,,,,,,,,,,,,,,,
,Smuggler's Cove,,,,,,,,,,,,,,,World’s Best 50 Bars,,,,,,,
,True Laurel,,,,,,,,,,,,,,,World’s Best 50 Bars,,,,,,,
,Tommy's Mexican Restaurant,,,,,,,,,,,,,,,World’s Best 50 Bars,,,,,,,
,Wildhawk,,,,,,,,,,,,,,,World’s Best 50 Bars,,,,,,,
,The Halfway Club,,,,,,,,,,,,,,,,,,,,,,
,Roaming Goat,,,,,,,,,,,,,,,,,,,,,,
,robberbaron,,,,,,,,,,,,,,,,,,,,,,
,Press Club,,,,,,,,,,,,,,,,,,,,,,
,High Treason,,,,,,,,,,,,,,,,,,,,,,
,Birba,,,,,,,,,,,,,,,,,,,,,,
,Cantina Los Mayas,,,,,,,,,,,,,,,,,,,,,,
,Decant,,,,,,,,,,,,,,,,,,,,,,
,Fool's Errand,,,,,,,,,,,,,,,,,,,,,,
,Palm City,,,,,,,,,,,,,,,,,,,,,,
,Bar Jabroni,,,,,,,,,,,,,,,,,,,,,,
,Ungrafted,,,,,,,,,,,,,,,,,,,,,,
,Arcana,,,,,,,,,,,,,,,,,,,,,,
,Yokai,,,,,,,,,,,,,,,,,,,,,,
,Jilli,,,,,,,,,,,,,,,,,,,,,,
,Mari's Mogura,,,,,,,,,,,,,,,,,,,,,,