,,,,,,
,Name,Price,Cuisine,Neighborhood,Hours,Recs
,Pinecrest,$,Western,Union Square,Mon–Wed 7am–11pm; Thu 7am–12am; Fri–Sat 24h; Sun 12am–11pm,"Steak & eggs, chili hash browns, banana pancakes"
,Taishan,$$,Chinese,Chinatown,Daily 11am–3am,"Eel claypot rice, pork tripe soup, beef bone pot"
,Grubstake,$$,Western,Lower Nob Hill,Daily 5pm–4am,"Codfish plate, cheeseburger, pie"
,Cocobang,$$,Korean,Lower Nob Hill,Daily 5pm–2am,"Kimchi fried rice, corn cheese, spicy tofu soup"
,Hinodeya,$$,Japanese,Japantown,Daily 11am–9:30pm,"Spicy miso ramen, tonkotsu ramen"
,Public Izakaya,$$,Japanese,Lower Nob Hill,Tue–Sat 5pm–11pm; Sun–Mon Closed,"Yakitori skewers, karaage"
,Toyose,$$,Korean,Outer Sunset,Daily 6pm–2am,"Seafood pancake, kimchi stew, fried rice"
,Taqueria El Farolito,$,Mexican,Mission,Daily 10am–2:30am,"Super burrito, lengua tacos"
,Joyful Garden,$$,Chinese,Castro,Daily 11am–10pm,"Spicy tofu, stir-fried noodles"
,Orphan Andy's,$,Western,Castro,Daily 24h,"Patty melt, chicken-fried steak, hotcakes"
,Bob's Donut,$,Western,Nob Hill,Daily 24h,"Apple fritter, bear claw, glazed donut"
,Naan N Curry,$$,Indian,Civic Center,Daily 11am–3am,"Chicken tikka masala, garlic naan, lamb biryani"
,Wok Station,$,Chinese,Outer Sunset,Mon–Sat 11am–9:30pm; Sun 12pm–9pm,"Salt & pepper wings, chow mein, fried rice"
,Gyro Xpress,$,Mediterranean,Castro,Mon–Sat 11am–10pm; Sun Closed,"Lamb gyro plate, hummus, fries"
,Turtle Tower,$$,Vietnamese,Financial District,Daily 10am–9pm,"Pho ga, Hanoi fried chicken"
,Bay Pocha,$$,Korean,Ocean Ave,Mon–Thu 5pm–11pm; Fri–Sat 5pm–12am; Sun 5pm–10pm,"Bossam pork, army stew, corn cheese"
,Beep's Burgers,$,Western,Ocean Ave,Daily 11am–12am,"Beep’s burger, garlic fries, milkshake"
,Panchita's Pupuseria Restaurant,$,Salvadoran,Mission,Mon–Thu & Sun 10am–11pm; Fri–Sat 10am–2:30am,"Revuelta pupusas, tamales"
,Primo Pizza,$,Italian,Inner Richmond,Mon–Thu 11am–10pm; Fri–Sat 11am–11pm; Sun 12pm–10pm,"Pepperoni slice, meat lover’s pizza"
,Uncle Boy's,$,Western,Inner Richmond,Daily 5pm–12am,"Garlic fries, burgers"
,Sam's,$,Western,North Beach,Daily 11am–3am,"Cheeseburger, onion rings"
,Kowloon Tong Dessert Cafe,$,Chinese,Outer Sunset,Daily 1pm–12am,"Mango sago, black sesame tofu pudding"
,ZZAN,$$,Korean Fusion,Tenderloin,Daily 4pm–1am,"Soju cocktails, Korean tapas, corn cheese, fried chicken"