,,,,,,,,,,,,,,,,,,,
,Name,Pricing,Ambiance,Music Genre,Food,Cuisine,Dress code,Crowd avail.,Optimal time,Drinks,Recs,As seen on,Genre,Tags,Social media,Reservation Difficulty,Outdoor/Indoor?,,
,Bar Part Time,$$,"Darklit, Red Lights, Incense","House, Disco",None,None,Casual,Indie,11:00 PM,Natural Wine,,Soundcloud,,"listening bar, dance floor, happy hour, vinyl",,,,,"Dancefloor, Vinyl"
,Key Klub,$$,"Darklit, Red Lights",,"New American (Big Plates, Small Bites)",American,,Gen Z,9:00 PM,Natural Wine,,,,,,,,,
,Verjus,$$$,Darklit,,French (Big & Small Plates),French,Casual,Millennial,,Wine,,,,,,,,,
,Harlan Records,$$,Darklit,House,None,None,Casual,,,Cocktails,,,,,,,,,
,Bodega,$$,,,Vietnamese,Vietnamese,,,,Cocktails,,,,,,,,,
,Anchovy Bar,$$$,"Cozy, ",Classical,Seafood (Small Plates),"Seafood, Western",,"Millennial, Boomer",7:00 PM,Beer,,,,,,,,,
,Millay,,"Minimalist, Modern, Cozy","Low-fi, ambient, eclectic vinyl sets",Japanese-inspired bar snacks (light),Japanese,Casual chic,"Millennials, creative professionals",8:30–10:30 PM,"Sake, Cocktails",Highballs,,,"Natural wine, sake bar, date spot, intimate",,,,,
,Celeste,,"Mediterranean coastal, candlelit, intimate","Jazz, soulful electronic",Mediterranean (Small Plates),Mediterranean,Smart casual,"Couples, professionals",7:00 PM,"Wine, Cocktails","Vermouth, Herbal cocktails",,,"Date night, Mediterranean, cozy",,,,,
,Mothership,,"Futuristic, colorful lighting, space-themed","Synthwave, retro-funk, electronic",None,None,Trendy / fun,"Gen Z, creatives",10:00 PM,Cocktails,,,,"Space bar, immersive, cocktails, funky",,,,,
,Bar Gemini,,"Warm wood, vinyl bar, cozy","Soul, funk, jazz vinyl sets",Light bites / charcuterie,Western,Casual,"Millennials, wine lovers",6:00–9:00 PM,Natural Wine,sherry,,,"Natural wine, vinyl, cozy, date spot",,,,,
,Gigi's,,"Retro-chic, warm lighting",,Vietnamese (Small Plates),Vietnamese,"Casual, trendy",Millennials and older Gen Z,7:00–9:00 PM,Beer,"Vietnamese beer, Chambong",,,,,,,,
,Charmaine's,$$$,"Rooftop lounge, panoramic views","Chill electronic, lounge",Upscale bar bites,Western,,"Tourists, professionals",Sunset hours,,,,,"Scenic views, elegant, trendy",,,,,
,El Chato,$$$,"Intimate and playful, Mural-lit pink walls","Live bands, indie sleaze, Spanish pop",Spanish tapas & pintxos,Spanish,,"Artsy locals, young professionals",6:30–9:30 PM,Wine,"Tinto, vermouth, porrón of vino blanco",,,"Porróns, live music, communal tables, intimate, late-night vibe",,,,,
,Buddy,,,,,,,,,"Wine, Cocktails, Beer",,,,,,,,,
,Peacekeeper,,,,,,,,,"Cocktails, Beer, Wine",,,,,,,,,
,PCH,,,,,,,,,,,,,,,,,,
,Shuggie's Trash Pizza,,,,,,,,,,,,,,,,,,
,Bar Sprezzatura,,,,,,,,,,,,,,,,,,
,Trick Dog,,,,,,,,,,,,,,,,,,
,Shoji,,,,,,,,,,,,,,,,,,
,Chambers,,,,,,,,,,,,,,,,,,
,Left Door,,,,,,,,,,,,,,,,,,
,Starlite,,,,,,,,,,,,,,,,,,
,20 Spot,,,,,,,,,,,,,,,,,,
,Waystone,,,,,,,,,,,,,,,,,,
,Kis cafe,,,,,,,,,,,,,,,,,,
,ABV,,,,,,,,,,,,,,,,,,
,Phonobar,,,,,,,,,,,,,,,,,,
,Chotto Matte,,,,,,,,,,,,,,,,,,
,Madrone Art Bar,,,,,,,,,,,,,,,,,,
,Cavana,,,,,,,,,,,,,,,,,,
,White Rabbit,,,,,,,,,,,,,,,,,,